model,optimizer,epoch,mrr@10,11pt_avg,G,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rndcg,Rprec,Rprec_mult_0.20,Rprec_mult_0.40,Rprec_mult_0.60,Rprec_mult_0.80,Rprec_mult_1.00,Rprec_mult_1.20,Rprec_mult_1.40,Rprec_mult_1.60,Rprec_mult_1.80,Rprec_mult_2.00,binG,bpref,gm_bpref,gm_map,infAP,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,map_cut_10,map_cut_100,map_cut_1000,map_cut_15,map_cut_20,map_cut_200,map_cut_30,map_cut_5,map_cut_500,ndcg,ndcg_cut_10,ndcg_cut_100,ndcg_cut_1000,ndcg_cut_15,ndcg_cut_20,ndcg_cut_200,ndcg_cut_30,ndcg_cut_5,ndcg_cut_500,ndcg_rel,num_nonrel_judged_ret,num_q,num_rel,num_rel_ret,num_ret,rbp,rbp_resid,recall_10,recall_100,recall_1000,recall_15,recall_20,recall_200,recall_30,recall_5,recall_500,recip_rank,relative_P_10,relative_P_100,relative_P_1000,relative_P_15,relative_P_20,relative_P_200,relative_P_30,relative_P_5,relative_P_500,runid,set_F,set_P,set_map,set_recall,set_relative_P,success_1,success_10,success_5,unj_10,unj_20,unj_5,utility
gte,AdamW,1,0.594,0.5133,0.2679,0.8116,0.3965,0.0654,0.7783,0.7372,0.2664,0.6419,0.893,0.1238,0.649,0.4964,0.8187,0.7315,0.6371,0.5617,0.4964,0.4349,0.3949,0.3592,0.3298,0.3062,0.3428,0.6068,0.5328,0.4143,0.5005,0.9841,0.8741,0.8112,0.7176,0.5696,0.5037,0.4261,0.3295,0.2433,0.1439,0.0433,0.5005,0.1601,0.4226,0.5005,0.2097,0.2499,0.4765,0.2915,0.1024,0.4964,0.6987,0.7224,0.6591,0.6987,0.7204,0.7071,0.6722,0.6802,0.7567,0.6897,0.6796,2252.0,43.0,4102.0,2814.0,43000.0,0.5638,0.113,0.1689,0.5501,0.7389,0.2286,0.2815,0.6573,0.3376,0.1051,0.7161,0.9814,0.8256,0.6451,0.7389,0.798,0.7642,0.681,0.6948,0.8977,0.7161,checkpoint-15547,0.1133,0.0654,0.052,0.7389,0.7389,0.9767,1.0,1.0,0.0558,0.1174,0.014,-869.1163
gte,AdamW,2,0.5942,0.5133,0.2629,0.8256,0.3963,0.0654,0.7752,0.7326,0.2641,0.6395,0.8698,0.123,0.6392,0.5018,0.8204,0.7256,0.6353,0.5644,0.5018,0.4423,0.3949,0.3571,0.3322,0.3086,0.3414,0.6074,0.5333,0.4109,0.4999,0.973,0.8796,0.8076,0.7093,0.5768,0.5027,0.4321,0.3339,0.2493,0.1399,0.0426,0.4999,0.1632,0.4247,0.4999,0.2089,0.2463,0.4756,0.2904,0.1011,0.4957,0.6949,0.7203,0.655,0.6949,0.7081,0.6967,0.6656,0.6687,0.7343,0.6845,0.6728,2252.0,43.0,4102.0,2814.0,43000.0,0.5576,0.1178,0.176,0.5538,0.7389,0.2295,0.2753,0.6511,0.3366,0.1041,0.713,0.9523,0.8395,0.6482,0.7389,0.7953,0.7583,0.6744,0.6916,0.8744,0.713,checkpoint-31094,0.1133,0.0654,0.052,0.7389,0.7389,0.9302,1.0,1.0,0.0535,0.1267,0.0279,-869.1163
gte,AdamW,3,0.5972,0.5058,0.2514,0.8093,0.3942,0.0654,0.755,0.7128,0.2634,0.6349,0.8558,0.1225,0.6204,0.5017,0.7892,0.7096,0.6321,0.5616,0.5017,0.44,0.3941,0.3596,0.3301,0.3077,0.3263,0.6075,0.5336,0.3995,0.4899,0.9611,0.8614,0.7893,0.6942,0.5693,0.498,0.4215,0.3404,0.2478,0.1395,0.0413,0.4899,0.1555,0.4136,0.4899,0.2009,0.235,0.4654,0.2827,0.0997,0.4855,0.6848,0.6902,0.6426,0.6848,0.6817,0.6703,0.655,0.6558,0.708,0.6733,0.655,2252.0,43.0,4102.0,2814.0,43000.0,0.5418,0.131,0.1715,0.5489,0.7389,0.2256,0.2692,0.6501,0.3376,0.1051,0.7102,0.9279,0.8233,0.6439,0.7389,0.7751,0.7386,0.6737,0.6876,0.8605,0.7102,checkpoint-46641,0.1133,0.0654,0.052,0.7389,0.7389,0.8837,1.0,1.0,0.0605,0.1535,0.0326,-869.1163
gte,Lion,1,0.5854,0.4977,0.2532,0.7884,0.3893,0.0654,0.7364,0.707,0.2591,0.6318,0.8558,0.1228,0.6296,0.4814,0.7728,0.6926,0.6147,0.5419,0.4814,0.4343,0.395,0.3587,0.326,0.3024,0.3198,0.6079,0.5332,0.3878,0.4794,0.9667,0.8426,0.7619,0.6601,0.5655,0.4907,0.4215,0.3576,0.245,0.1233,0.0395,0.4794,0.1468,0.4039,0.4794,0.19,0.2274,0.4538,0.2771,0.0931,0.4755,0.6865,0.697,0.6433,0.6865,0.6813,0.6786,0.6523,0.6638,0.7229,0.675,0.6595,2252.0,43.0,4102.0,2814.0,43000.0,0.5428,0.1433,0.1614,0.5401,0.7389,0.2158,0.2684,0.6384,0.3369,0.1002,0.7101,0.9612,0.8023,0.6333,0.7389,0.7555,0.7337,0.6624,0.6849,0.8605,0.7101,final,0.1133,0.0654,0.052,0.7389,0.7389,0.9302,1.0,1.0,0.0907,0.15,0.0558,-869.1163
gte,Lion,2,0.5957,0.4769,0.2496,0.7721,0.374,0.0654,0.7302,0.6802,0.2528,0.6054,0.8326,0.1227,0.612,0.4642,0.7564,0.6702,0.5929,0.5238,0.4642,0.4128,0.3736,0.3411,0.3109,0.2881,0.3093,0.6013,0.5246,0.3623,0.4577,0.9682,0.8377,0.74,0.6283,0.5389,0.4549,0.3871,0.3144,0.2211,0.1182,0.0373,0.4577,0.1464,0.381,0.4577,0.1901,0.2201,0.4294,0.2631,0.093,0.4534,0.6772,0.6792,0.6248,0.6772,0.6723,0.658,0.6376,0.6405,0.7008,0.6661,0.6469,2252.0,43.0,4102.0,2814.0,43000.0,0.5279,0.1616,0.161,0.5211,0.7389,0.2151,0.2545,0.6273,0.3153,0.0973,0.7105,0.9477,0.786,0.612,0.7389,0.7492,0.7043,0.6504,0.6525,0.8372,0.7105,final,0.1133,0.0654,0.052,0.7389,0.7389,0.907,1.0,1.0,0.1,0.1837,0.0605,-869.1163
gte,Lion,3,0.5931,0.4697,0.2348,0.7488,0.374,0.0654,0.7147,0.6907,0.2543,0.614,0.814,0.1231,0.5916,0.4662,0.7398,0.6535,0.59,0.5236,0.4662,0.4119,0.3739,0.3399,0.3104,0.2907,0.3022,0.5972,0.5234,0.3525,0.4521,0.9519,0.8008,0.7218,0.6289,0.5201,0.4653,0.3882,0.3158,0.2133,0.1218,0.0384,0.4521,0.1378,0.3747,0.4521,0.1779,0.2145,0.424,0.2589,0.0882,0.4477,0.6674,0.6571,0.6124,0.6674,0.6481,0.645,0.6269,0.631,0.6801,0.6573,0.6304,2252.0,43.0,4102.0,2814.0,43000.0,0.5156,0.1755,0.1542,0.5181,0.7389,0.207,0.2574,0.6227,0.3221,0.0929,0.7124,0.9399,0.7628,0.6091,0.7389,0.7331,0.7145,0.6458,0.6634,0.8186,0.7124,final,0.1133,0.0654,0.052,0.7389,0.7389,0.907,1.0,0.9767,0.1209,0.1802,0.093,-869.1163
mini_lm,AdamW,1,0.5828,0.4961,0.2518,0.8,0.387,0.0654,0.7628,0.7151,0.2564,0.645,0.8698,0.1242,0.6236,0.4884,0.7832,0.7041,0.6129,0.5502,0.4884,0.4347,0.3919,0.3527,0.3247,0.3036,0.3197,0.6016,0.5242,0.392,0.4814,0.9637,0.8546,0.7734,0.6592,0.5571,0.4804,0.4108,0.3474,0.2443,0.1258,0.0399,0.4814,0.1479,0.4062,0.4814,0.1938,0.2272,0.4533,0.2809,0.0955,0.4775,0.6857,0.7008,0.6402,0.6857,0.6979,0.6833,0.6505,0.6698,0.7207,0.6778,0.658,2252.0,43.0,4102.0,2814.0,43000.0,0.5484,0.1135,0.1652,0.5426,0.7389,0.2225,0.2645,0.6396,0.3362,0.1027,0.7187,0.9465,0.814,0.6332,0.7389,0.7829,0.7409,0.6619,0.6947,0.8744,0.7187,checkpoint-3887,0.1133,0.0654,0.052,0.7389,0.7389,0.907,1.0,1.0,0.0512,0.1291,0.0047,-869.1163
mini_lm,AdamW,2,0.5818,0.5021,0.2573,0.8116,0.3895,0.0654,0.7674,0.7186,0.258,0.6488,0.8698,0.1247,0.6327,0.4916,0.7808,0.7009,0.6216,0.5523,0.4916,0.4366,0.3933,0.3594,0.3282,0.3055,0.3247,0.603,0.5223,0.3975,0.4891,0.9821,0.8584,0.786,0.6614,0.5647,0.4856,0.4192,0.3537,0.2472,0.1251,0.04,0.4891,0.1531,0.4148,0.4891,0.1987,0.2329,0.4618,0.2882,0.097,0.4854,0.691,0.7094,0.6471,0.691,0.705,0.6908,0.6562,0.6779,0.7345,0.6843,0.6664,2252.0,43.0,4102.0,2814.0,43000.0,0.552,0.1075,0.1668,0.5446,0.7389,0.2239,0.2676,0.6417,0.3401,0.1013,0.7223,0.9814,0.8256,0.6356,0.7389,0.7875,0.7444,0.6643,0.699,0.8744,0.7223,checkpoint-7774,0.1133,0.0654,0.052,0.7389,0.7389,0.9767,1.0,1.0,0.0419,0.1233,0.0047,-869.1163
mini_lm,AdamW,3,0.5826,0.5043,0.2567,0.8116,0.3891,0.0654,0.7705,0.7256,0.258,0.6442,0.8558,0.1245,0.6335,0.4943,0.7914,0.71,0.6228,0.5611,0.4943,0.4361,0.3916,0.3576,0.3264,0.3049,0.3249,0.6048,0.5223,0.3972,0.4908,0.9817,0.8641,0.7913,0.6724,0.5684,0.4877,0.4183,0.3469,0.2481,0.1262,0.0422,0.4908,0.1553,0.4159,0.4908,0.2014,0.2383,0.463,0.2895,0.0978,0.4871,0.691,0.7127,0.6474,0.691,0.7075,0.6949,0.6561,0.6749,0.7244,0.6834,0.6664,2252.0,43.0,4102.0,2814.0,43000.0,0.5531,0.109,0.1702,0.5427,0.7389,0.2257,0.2719,0.6396,0.3386,0.1007,0.7189,0.9806,0.8256,0.6334,0.7389,0.7906,0.7513,0.662,0.6936,0.8605,0.7189,checkpoint-11661,0.1133,0.0654,0.052,0.7389,0.7389,0.9767,1.0,0.9767,0.0419,0.1244,0.014,-869.1163
mini_lm,Lion,1,0.589,0.5011,0.2582,0.814,0.3847,0.0654,0.7783,0.7233,0.2583,0.6434,0.8651,0.1242,0.6222,0.4952,0.8149,0.6982,0.6221,0.5495,0.4952,0.4308,0.3866,0.3527,0.3245,0.302,0.329,0.601,0.5263,0.3919,0.4858,0.9727,0.8613,0.7976,0.6698,0.5505,0.4836,0.4128,0.3387,0.2537,0.1326,0.0387,0.4858,0.1534,0.4087,0.4858,0.2007,0.2344,0.4584,0.2845,0.0961,0.4821,0.6841,0.7031,0.6369,0.6841,0.6965,0.6829,0.6501,0.6667,0.7163,0.6752,0.6568,2252.0,43.0,4102.0,2814.0,43000.0,0.5499,0.1098,0.1688,0.5338,0.7389,0.2257,0.2704,0.6413,0.34,0.1022,0.7154,0.9457,0.8279,0.6261,0.7389,0.7975,0.7487,0.6645,0.6958,0.8698,0.7154,final,0.1133,0.0654,0.052,0.7389,0.7389,0.907,1.0,1.0,0.0465,0.1174,0.0233,-869.1163
